date,view
2023-07-20,6.46E-01
2023-07-21,8.85E-02
2023-07-22,2.61E-02
2023-07-23,6.14E-01
2023-07-24,6.63E-01
2023-07-25,6.61E-01
2023-07-26,5.86E-01
2023-07-27,7.32E-01
2023-07-28,1.31E-01
2023-07-29,1.08E-01
2023-07-30,7.12E-01
2023-07-31,6.99E-01
2023-08-01,6.71E-01
2023-08-02,6.81E-01
2023-08-03,5.40E-01
2023-08-04,7.00E-02
2023-08-05,1.27E-01
2023-08-06,7.90E-01
2023-08-07,8.69E-01
2023-08-08,6.21E-01
2023-08-09,6.73E-01
2023-08-10,7.50E-01
2023-08-11,1.53E-01
2023-08-12,7.25E-02
2023-08-13,7.73E-01
2023-08-14,1.00E+00
2023-08-15,5.95E-01
2023-08-16,8.47E-01
2023-08-17,9.12E-01
2023-08-18,1.69E-01
2023-08-19,8.52E-02
2023-08-20,8.89E-01
2023-08-21,8.37E-01
2023-08-22,9.80E-01
2023-08-23,8.94E-01
2023-08-24,8.88E-01
2023-08-25,1.86E-01
2023-08-26,1.13E-01
2023-08-27,7.62E-01
2023-08-28,7.59E-01
2023-08-29,7.35E-01
2023-08-30,8.60E-01
2023-08-31,1.72E-01
2023-09-01,8.77E-02
2023-09-02,1.13E-01
2023-09-03,3.14E-01
2023-09-04,6.43E-01
2023-09-05,7.04E-01
2023-09-06,6.26E-01
2023-09-07,6.42E-01
2023-09-08,1.59E-01
2023-09-09,8.60E-02
2023-09-10,6.24E-01
2023-09-11,8.30E-01
2023-09-12,5.67E-01
2023-09-13,4.06E-01
2023-09-14,5.96E-01
2023-09-15,1.57E-01
2023-09-16,1.01E-01
2023-09-17,5.28E-01
2023-09-18,6.81E-01
2023-09-19,6.60E-01
2023-09-20,6.94E-01
2023-09-21,6.48E-01
2023-09-22,1.96E-01
2023-09-23,1.47E-01
2023-09-24,6.58E-01
2023-09-25,6.92E-01
2023-09-26,4.98E-01
2023-09-27,4.53E-01
2023-09-28,4.68E-01
2023-09-29,1.53E-01
2023-09-30,1.23E-01
2023-10-01,7.39E-01
2023-10-02,6.89E-01
2023-10-03,5.49E-01
2023-10-04,6.12E-01
2023-10-05,8.43E-01
2023-10-06,2.49E-01
